trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
97,False,"{'a': 0.5, 'e': 0.37908303810339883}",25,0,-21.85145623681703,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.37531109885139957}",30,8,-72.54912186182361,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 2}",1
99,False,"{'a': 0.5, 'e': 0.3715766910220457}",20,7,-16.571711264403636,"{0: 8, 1: 4, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,12,-15.089871069070782,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.3642189795715233}",25,7,-47.13571273081258,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.3605949401730783}",30,18,10.84254714722837,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.3570069605691474}",25,11,22.194425082358542,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.35345468195878016}",20,0,-133.46788197105164,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
105,False,"{'a': 0.5, 'e': 0.3499377491111553}",20,0,-3.1909453149429776,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.3464558103300574}",20,11,-8.64209106278696,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.34300851741870664}",20,0,-64.063056823943,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.3395955256449391}",20,0,-4.042929525205975,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.3362164937067333}",30,15,-8.519654043656068,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.33287108369807955}",25,0,14.632658169357368,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.32955896107518906}",30,0,-44.40993945728786,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.32627979462303947}",30,8,21.472614783516843,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.3230332564222529}",25,13,-21.016440800837525,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.31981902181630384}",20,0,-6.789339948988475,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.31663676937905316}",25,12,12.252664169867217,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.3134861808826053}",20,0,-100.32080969788383,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
117,False,"{'a': 0.5, 'e': 0.31036694126548503}",25,0,-27.265525785742888,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
118,False,"{'a': 0.5, 'e': 0.30727873860113125}",25,0,-12.909284887422956,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.3042212640667041}",30,16,7.74371253485743,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.30119421191220214}",25,17,7.763432231182941,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.2981972794298874}",20,9,-4.442221601034812,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.2952301669240142}",25,0,-29.36022502106982,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
123,False,"{'a': 0.5, 'e': 0.2922925776808594}",35,14,-19.327113892435044,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 1}",1
124,False,"{'a': 0.5, 'e': 0.2893842179390506}",30,7,-25.258881574102865,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
125,False,"{'a': 0.5, 'e': 0.2865047968601901}",20,6,-38.71969974241295,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
126,False,"{'a': 0.5, 'e': 0.2836540264997704}",20,0,-9.320845265066943,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.2808316217783798}",20,7,1.6624322868824881,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.27803730045319414}",25,19,5.599983767933807,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.27527078308975234}",25,0,25.920505267120316,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.2725317930340126}",30,16,-20.504674905359476,"{0: 12, 1: 0, 2: 0, 3: 2, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.2698200563846868}",20,12,10.544176392252023,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.26713530196585034}",30,20,8.77906587418396,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.26447726129982396}",25,0,-14.784354573931463,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
134,False,"{'a': 0.5, 'e': 0.261845668580326}",25,11,-30.740419721761135,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.2592402606458915}",20,1,-36.46741293103315,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.2566607769535559}",20,12,15.526767061647446,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.25410695955280027}",25,6,7.5481680738571555,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.25157855305975646}",30,20,-31.53341981575077,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
139,False,"{'a': 0.5, 'e': 0.24907530463166816}",25,18,7.295392382915193,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24659696394160643}",20,4,10.062601594538172,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.2441432831534371}",20,15,8.382217601431938,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.24171401689703645}",20,0,16.45732900740569,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.23930892224375455}",20,0,-26.513778243413377,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
144,False,"{'a': 0.5, 'e': 0.23692775868212176}",20,2,-30.859843624301508,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
145,False,"{'a': 0.5, 'e': 0.23457028809379765}",25,19,13.203278235574171,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.23223627472975883}",25,0,-85.6231544816347,"{0: 21, 1: 0, 2: 0, 3: 2, 4: 2}",0
147,False,"{'a': 0.5, 'e': 0.22992548518672384}",20,3,3.2584038074226442,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22763768838381274}",20,13,1.9484480578528924,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.22537265553943872}",20,13,11.46974216204997,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22313016014842982}",20,15,-2.8067760232263863,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.2209099779593782}",30,11,-13.43080728516152,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
152,False,"{'a': 0.5, 'e': 0.21871188695221475}",30,19,20.623638605131383,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.21653566731600707}",20,12,15.336071406110566,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.21438110142697794}",20,12,17.742154496765203,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.21224797382674304}",20,13,1.495797260320083,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.21013607120076472}",20,13,8.217123582656328,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.20804518235702046}",25,12,11.43368559831308,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20597509820488344}",25,17,16.145646319726872,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.20392561173421342}",30,2,29.30156433071667,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20189651799465538}",20,8,-17.247515490623922,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.1998876140751445}",25,0,-35.90219549606968,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
162,False,"{'a': 0.5, 'e': 0.19789869908361465}",25,13,19.864049777061783,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19592957412690934}",20,3,12.267579302737424,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19398004229089189}",20,14,9.580376940455503,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.19204990862075408}",30,1,7.269107323982601,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 1}",1
166,False,"{'a': 0.5, 'e': 0.1901389801015205}",30,14,-23.07546655678468,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
167,False,"{'a': 0.5, 'e': 0.1882470656387468}",25,12,24.10873205781581,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.18637397603940997}",25,8,-5.976526459477153,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
169,False,"{'a': 0.5, 'e': 0.18451952399298926}",25,0,-23.19406519225762,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
170,False,"{'a': 0.5, 'e': 0.18268352405273466}",30,22,13.107437650112274,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.1808657926171221}",25,0,3.742874821003247,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.17906614791149322}",30,12,-14.695825680394703,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
173,False,"{'a': 0.5, 'e': 0.17728440996987782}",20,0,9.041217766832181,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
174,False,"{'a': 0.5, 'e': 0.17552040061699686}",20,6,-6.557546607538691,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.17377394345044514}",25,18,13.681234447978703,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.17204486382305054}",20,14,-3.034641733074226,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.17033298882540943}",25,0,9.6201529158124,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
178,False,"{'a': 0.5, 'e': 0.1686381472685955}",30,13,-29.162261537425234,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
179,False,"{'a': 0.5, 'e': 0.1669601696670407}",25,9,15.375475492892235,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16529888822158653}",25,12,9.376121630304857,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16365413680270405}",25,15,15.813160081496846,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.16202575093388075}",25,3,32.333915294386486,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.16041356777517274}",25,9,3.884142827809067,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
